"Certificate ID","Repository","Repository Link","Type","Venue","Check date","Report","Title","Paper reference","OpenAlex","Paper authors","Paper author ORCIDs","Codecheckers","Codechecker ORCIDs","Summary","Source"
"2020-014","github::codecheckers/Sadeh-and-Clopath","https://github.com/codecheckers/Sadeh-and-Clopath","community","codecheck","2020-07-28","https://doi.org/10.5281/zenodo.3967326","Patterned perturbation of inhibition can reveal the dynamical structure of neural processing","https://doi.org/10.7554/eLife.52757","https://openalex.org/W3008505973","Sadra Sadeh; Claudia Clopath","0000-0001-8159-5461; 0000-0003-4507-8648","Iain Davies","0000-0002-5361-6285","Some of the original MATLAB code was provided on ModelDB. This code was successfully  rerun and reproduced some of the figures in the original paper. However this was a small subset of all the figures in the paper.
",
"2020-015","github::codecheckers/Liou-and-Bateman","https://github.com/codecheckers/Liou-and-Bateman","community","codecheck","2020-08-04","https://doi.org/10.5281/zenodo.3978402","A model for focal seizure onset, propagation, evolution, and progression","https://doi.org/10.7554/eLife.50927","https://openalex.org/W3012706327","Jyun-you Liou; Elliot H Smith; Lisa M Bateman","0000-0003-4851-3676; 0000-0003-4323-4643","Iain Davies","0000-0002-5361-6285","All code to run the neural network models discussed in the paper was  successfully executed. Some results could be read off these models in  action. The code to reproduce the figures given in the paper had more  difficulties, with only some figures successfully recreated.
",
"2020-016","github::codecheckers/OpeningPractice","https://github.com/codecheckers/OpeningPractice","journal","J Geogr Syst","2020-06-02","https://doi.org/10.5281/zenodo.3981253","Opening practice: supporting reproducibility and critical spatial data science","https://doi.org/10.1007/s10109-020-00334-2","https://openalex.org/W3047775749","Chris Brunsdon; Alexis Comber","0000-0003-4254-1780; 0000-0002-3652-7846","Daniel Nüst","0000-0002-0024-5046","A small R script to render a map and two tables. Minor code adjustments were made, but reproduction of results (one figure, two tables) was successful.
",
"2020-017","github::codecheckers/JGSY-D-19-00087","https://github.com/codecheckers/JGSY-D-19-00087","journal","J Geogr Syst","2020-08-27","https://doi.org/10.5281/zenodo.4003848","Progress in the R ecosystem for representing and handling spatial data","https://doi.org/10.1007/s10109-020-00336-0","https://openalex.org/W3092996383","Roger S. Bivand","0000-0003-2392-6140","Daniel Nüst","0000-0002-0024-5046","Successful check of well-organised R script. All figures match the ones provided by the author.
",
"2020-018","github::reproducible-agile/AGILECA","https://github.com/reproducible-agile/AGILECA","conference","AGILEGIS","2020-07-13","https://doi.org/10.17605/OSF.IO/ZTC7M","Integrating cellular automata and discrete global grid systems: a case study into wildfire modelling","https://doi.org/10.5194/agile-giss-1-6-2020","https://openalex.org/W3042993452","Majid Hojati; Colin Robertson","0000-0001-7350-0055","Daniel Nüst","0000-0002-0024-5046","The check was straightforward as all material was provided and documented well, but computations took about 3 hours to run.
",
"2020-019","osf::5SVMT","https://osf.io/5SVMT","conference","AGILEGIS","2020-07-13","https://doi.org/10.17605/OSF.IO/5SVMT","What to do in the Meantime: A Service Coverage Analysis for Parked Autonomous Vehicles","https://doi.org/10.5194/agile-giss-1-7-2020","https://openalex.org/W3042838677","Steffen Illium; Philipp Andreas Friese; Robert Müller; Sebastian Feld","0000-0002-3124-5364","Daniel Nüst; Carlos Granell","0000-0002-0024-5046; 0000-0003-1004-9695","After initial problems because of absence of documentation, the reproduction was successful for some of the paper's figures, but not the maps.
",
"2020-020","osf::7TWR2","https://osf.io/7TWR2","conference","AGILEGIS","2020-07-13","https://doi.org/10.17605/OSF.IO/7TWR2","Window Operators for Processing Spatio-Temporal Data Streams on Unmanned Vehicles","https://doi.org/10.5194/agile-giss-1-21-2020","https://openalex.org/W3043446483","Tobias Werner; Thomas Brinkhoff",,"Daniel Nüst; Frank Ostermann","0000-0002-0024-5046; 0000-0002-9317-8291","Based on an updated data and code archive provided by the authors, we were able to deploy a database with the new functions, insert test data, and recreate all but one data-based figure with the provided scripts.
",
"2020-021","github::reproducible-agile/Spatial-nominal-entity-recognition","https://github.com/reproducible-agile/Spatial-nominal-entity-recognition","conference","AGILEGIS","2020-07-13","https://doi.org/10.17605/OSF.IO/SUWPJ","Comparing supervised learning algorithms for Spatial Nominal Entity recognition","https://doi.org/10.5194/agile-giss-1-15-2020","https://openalex.org/W3043728279","Amine Medad; Mauro Gaio; Ludovic Moncla; Sébastien Mustière; Yannick Le Nir","0000-0002-6473-9969; 0000-0002-1590-9546","Frank Ostermann; Daniel Nüst","0000-0002-9317-8291; 0000-0002-0024-5046","After some adjustments of the computational environment, the commendable material compiled by the authors lead to a mostly successful reproduction.
",
"2020-022","osf::7XRQG","https://osf.io/7XRQG","conference","AGILEGIS","2020-07-13","https://doi.org/10.17605/OSF.IO/7XRQG","Extracting interrogative intents and concepts from geo-analytic questions.","https://doi.org/10.5194/agile-giss-1-23-2020","https://openalex.org/W3042325721","Haiqi Xu; Ehsan Hamzei; Enkhbold Nyamsuren; Han Kruiger; Stephan Winter; Martin Tomko; Simon Scheider","0000-0002-4712-230X; 0000-0002-0901-202X; 0000-0002-3403-6939; 0000-0002-5736-4679; 0000-0002-2267-4810","Daniel Nüst","0000-0002-0024-5046","The workflow could be executed using the provided instructions and the provided scripts created a subset of the included figures. Although some key figures were not created by the provided data and code, the reproduction was partially successful.
",
"2020-023","github::reproducible-agile/Tracking-Hurricane-Dorian-in-GDELT-and-Twitter","https://github.com/reproducible-agile/Tracking-Hurricane-Dorian-in-GDELT-and-Twitter","conference","AGILEGIS","2020-07-13","https://doi.org/10.17605/OSF.IO/XS5YR","Tracking Hurricane Dorian in GDELT and Twitter","https://doi.org/10.5194/agile-giss-1-19-2020","https://openalex.org/W3043006037","Innocensia Owuor; Hartwig H. Hochmair; Sreten Cvetojevic","0000-0002-7064-8238; 0000-0001-6069-5324","Frank Ostermann; Daniel Nüst","0000-0002-9317-8291; 0000-0002-0024-5046","After initial problems because of absence of documentation, the reproduction was successful for some of the paper's figures, but not the maps.
",
"2020-024","github::codecheckers/driftage","https://github.com/codecheckers/driftage","journal","GigaScience","2020-12-07","https://doi.org/10.5281/zenodo.4964880","Driftage: a multi-agent system framework for concept drift detection","https://doi.org/10.1093/gigascience/giab030","https://openalex.org/W3165405739","Diogo Munaro Vieira; Chrystinne Fernandes; Carlos Lucena; Sérgio Lifschitz","0000-0003-3073-3734","Stephen J. Eglen","0000-0001-8607-8025","Reproduction from mybinder
",
"2020-025","github::codecheckers/LICD_article","https://github.com/codecheckers/LICD_article","journal","J Archaeol Sci","2020-11-19","https://doi.org/10.5281/zenodo.4279275","The application of Local Indicators for Categorical Data (LICD) to explore spatial dependence in archaeological spaces","https://doi.org/10.1016/j.jas.2020.105306","https://openalex.org/W3112754451","Francesco Carrer; Tomasz M. Kossowski; Justyna Wilk; Michał B. Pietrzak; Roger S. Bivand","0000-0003-4397-4502; 0000-0002-9976-4398; 0000-0003-1495-2910; 0000-0002-9263-4478; 0000-0003-2392-6140","Daniel Nüst","0000-0002-0024-5046","This workflow was very straightforward to check following the authors' README. All figures stored in the repository could be recreated and match the ones given in the manuscript.
",
"2021-001","github::codecheckers/causality-review","https://github.com/codecheckers/causality-review","community","preprint","2021-04-27","https://doi.org/10.5281/zenodo.4720843","Causality indices for bivariate time series data: a comparative review of performance","https://arxiv.org/abs/2104.00718",,"Tom Edinburgh; Stephen J. Eglen; Ari Ercole","0000-0002-3599-7133; 0000-0001-8607-8025; 0000-0001-8350-8093","Marcel Stimberg","0000-0002-2648-4790","The authors provided all material and documented the process well, the check was therefore straightforward. Due to long computation times, only a subset of the results could be checked. Reproducing the results in the repository was successful, with non-significant numerical discrepancies. However, a small number of minor differences with the results in the arXiv preprint merit clarification.
",
"2021-002","osf::rsf4m","https://osf.io/rsf4m","conference","AGILEGIS","2021-06-10","https://doi.org/10.17605/osf.io/rsf4m","Building Change Detection of Airborne Laser Scanning and Dense Image Matching Point Clouds using Height and Class Information","https://doi.org/10.5194/agile-giss-2-10-2021","https://openalex.org/W3168809494","Florian Politz; Monika Sester; Claus Brenner","0000-0002-6656-8809; 0000-0002-6459-0682","Philipp A. Friese","0000-0002-3124-5364","The reproduction was partially successful.
The paper data and software are not publicly available due to licence issues with the cooperating parties.
For the scope of this reproduction however, the authors provided a synthetic data set, a script to 
generating a synthetic data set from a publicly available data source, and the analysis code.
Using the provided synthetic data set the executability of the provided analysis code was confirmed.
The methodology behind all figures has been reproduced.
",
"2021-003","osf::dx92a","https://osf.io/dx92a","conference","AGILEGIS","2021-06-10","https://doi.org/10.17605/osf.io/dx92a","Investigating drivers’ geospatial abilities in unfamiliar environments","https://doi.org/10.5194/agile-giss-2-3-2021","https://openalex.org/W3172635671","Dafni Karkasina; Margarita Kokla; Eleni Tomai","0000-0003-1162-7389","Philipp A. Friese","0000-0002-3124-5364","The updated submission contains a DASA section and provides the analysis script, dataset and questionnaires.
The provided R script computes all statistical analyses presented in the paper and generates the key figure
and data for both presented tables. The reproduction was successful.
",
"2021-004","osf::2sc7g","https://osf.io/2sc7g","conference","AGILEGIS","2021-06-10","https://doi.org/10.17605/osf.io/2sc7g","Extraction of linear structures from digital terrain models using deep learning","https://doi.org/10.5194/agile-giss-2-11-2021","https://openalex.org/W3171527029","Ramish Satari; Bashir Kazimi; Monika Sester","0000-0003-1802-7511; 0000-0002-6656-8809","Daniel Nüst; Anita Graser","0000-0002-0024-5046; 0000-0001-5361-2885","The provided workflow was partially reproduced. Based on the provided test file and instructions, we
were able to recreate the computing environment and run the segmentation models. Relevant tables from
the paper could be recreated. The training and validation part of the workflow is irreproducible because
of proprietary data, therefore no figures could be recreated.
",
"2021-005","osf::7fqtm","https://osf.io/7fqtm","conference","AGILEGIS","2021-06-10","https://doi.org/10.17605/osf.io/7fqtm","A Comparative Study of Typing and Speech For Map Metadata Creation","https://doi.org/10.5194/agile-giss-2-7-2021","https://openalex.org/W3172863573","Pei-Chun Lai; Auriol Degbelo","0000-0001-5087-8776","Frank Ostermann; Daniel Nüst","0000-0002-9317-8291; 0000-0002-0024-5046","The paper presents the results of a user experiment to improve GI-metadata using speech. A complete
reproduction is practically impossible to achieve. This reproducibility report therefore investigated two
components: First, whether sufficient information is provided to replicate the experiment elsewhere with
a different group of participants. Second, whether sufficient information is provided to reproduce the
analysis of the experimental results. The conclusion is positive for both. The original 
prototype is accessible online at the time of this writing. To reproduce the results, the provided
input data, R code, and Excel spreadsheet lead to the same results as given in the paper and the 
prototype for the user experiment could be run locally.
",
"2021-006","osf::4cpm3","https://osf.io/4cpm3","conference","AGILEGIS","2021-06-10","https://doi.org/10.17605/OSF.IO/4CPM3","A Socially Aware Huff Model for Destination Choice in Nature-based Tourism","https://doi.org/10.5194/agile-giss-2-14-2021","https://openalex.org/W3168422666","Meilin Shi; Krzysztof Janowicz; Ling Cai; Gengchen Mai; Rui Zhu","0000-0001-7106-4907; 0000-0002-7818-7309; 0000-0002-8910-9445","Jakub Krukar","0000-0003-2615-8757","The code, sample API query, and downloaded data were published in a public GitHub repository with a
working Binder link. All files containing the code could be executed and all tables presented in the paper
could be reproduced with only minor changes to the code. However, the code does not create figures
contained in the paper and an attempt to change the results of the model evaluation by changing its
numerical assumption was unsuccessful. The authors demonstrate concern for the reproducibility of their
work and actively improved the reproducibility workflow throughout the reproducibility review process.
",
"2021-007","osf::anv9r","https://osf.io/anv9r","conference","AGILEGIS","2021-06-10","https://doi.org/10.17605/osf.io/anv9r","Automated Extraction of Labels from Large-Scale Historical Maps","https://doi.org/10.5194/agile-giss-2-12-2021","https://openalex.org/W3171081052","Inga Schlegel","0000-0003-1468-4944","Daniel Nüst","0000-0002-0024-5046","The provided workflow could be partially reproduced, notably the text detection and string similarity
calculations could be executed and provide sufficiently similar results. Some manual steps were included which
could not be reproduced, as well as a final step due to long execution time. The software stack was challenging
to install but overall well documented.
",
"2021-008","osf::g4dcq","https://osf.io/g4dcq","conference","AGILEGIS","2021-06-10","https://doi.org/10.17605/osf.io/g4dcq","Flood Impact Assessment on Road Network and Healthcare Access at the example of Jakarta, Indonesia","https://doi.org/10.5194/agile-giss-2-4-2021","https://openalex.org/W3166039225","Isabell G. Klipper; Alexander Zipf; Sven Lautenbach","0000-0003-4916-9838; 0000-0003-1825-9996","Anita Graser","0000-0001-5361-2885","The provided workflow was partially reproduced. The reproduction described in this report uses the Python code provided
in the Github.com repo and data provided by the authors via email. The figures generated using this
source code are not identical to the figures in the paper. However, many of the results reported in the paper could be reproduced.
",
"2021-009","osf::rdnyu","https://osf.io/rdnyu","conference","AGILEGIS","2021-06-10","https://doi.org/10.17605/osf.io/rdnyu","H-TFIDF: What makes areas specific over time in the massive flow of tweets related to the covid pandemic?","https://doi.org/10.5194/agile-giss-2-2-2021","https://openalex.org/W3171073192","Rémy Decoupes; Rodrique Kafando; Mathieu Roche; Maguelonne Teisseire","0000-0003-0863-9581; 0000-0002-7190-9225; 0000-0003-3272-8568; 0000-0001-9313-6414","Daniel Nüst","0000-0002-0024-5046","The authors provide a well documented workflow analysing a large number of Tweets over a considerable
time span. Because of the data size, the authors provided instructions for a data subset, for which the
code could be executed successfully and the created figures match the provided baseline, and also confirm
that data can be created and the code is available for the results reported in the paper.
",
"2021-010","osf::bdu28","https://osf.io/bdu28","conference","AGILEGIS","2021-06-10","https://doi.org/10.17605/osf.io/bdu28","An Approach to Assess the Effect of Currentness of Spatial Data on Routing Quality","https://doi.org/10.5194/agile-giss-2-13-2021","https://openalex.org/W3165945407","Martin Schmidl; Gerhard Navratil; Ioannis Giannopoulos","0000-0002-2978-5724; 0000-0002-2556-5230","Alexander Kmoch; Daniel Nüst","0000-0003-4386-4450; 0000-0002-0024-5046","The reproduction was successful. All provided scripts could be execute after clarification with the authors
using the provided data. Some manual steps could not be reproduced, but all code and data are shared.
The script outputs match what is presented in the paper considering the randomness in the workflow.
Relevant figures and tables could be recreated successfully.
",
"2022-001","github::codecheckers/GWR-in-educational-planning","https://github.com/codecheckers/GWR-in-educational-planning","community","codecheck","2022-01-19","https://doi.org/10.5281/zenodo.6040066","Geographically Weighted Regressions for prioritizing educational planning, policies, and interventions","http://www.iiep.unesco.org/en/publication/geographically-weighted-regressions-prioritizing-educational-planning-policies-and",,"Germán Vargas Mesa; Amélie A. Gagnon","0000-0003-4907-0774","Stephen J. Eglen","0000-0001-8607-8025","R code for this project was reproducible.
",
"2022-002","osf::Z7P8K","https://osf.io/Z7P8K","conference","AGILEGIS","2022-07-09","https://doi.org/10.17605/osf.io/z7p8k","Understanding the Imperfection of 3D point Cloud and Semantic Segmentation algorithms for 3D Models of Indoor Environment","https://doi.org/10.5194/agile-giss-3-2-2022","https://openalex.org/W4282976318","Guoray Cai orcid 1 and; Yimu Pan","0000-0002-5189-8442","Rémy Decoupes","0000-0003-0863-9581","The code and data provided by the authors allow to partially reproduce the computational work presented in the Section 4.4 of the paper. The model training (PointNet++) and the input data for Section 4.4 are not reproducible with the provided code but the authors added a note, in the GitHub repository of their project, explaining how the data was generated. Three figures in Section 4.4 are fully reproducible (5, 6, and 7), 2 partially (4 and 8) and 4 are not (3, 9, 10, and 11).
",
"2022-003","osf::JDTN3","https://osf.io/JDTN3","conference","AGILEGIS","2022-07-09","https://doi.org/10.17605/OSF.IO/JDTN3","Optimizing Electric Vehicle Charging Schedules Based on Probabilistic Forecast of Individual Mobility","https://doi.org/10.5194/agile-giss-3-3-2022",,"Haojun Cai; Yanan Xin; Henry Martin; Martin Raubal",,"Carlos Granell","0000-0003-1004-9695","The authors included a link to an anonymous GitHb repository containing detailed instructions and an entry point (`main` script) to run the entire analysis.
The authors claimed that input data cannot be disclosed. They provided me a few synthetic input samples (CSV format) to run the probabilistic models and charging strategies for simulation and evaluation, so there are differences between the results of the reproduction and the ones in the original paper.
The reproduction described in this report uses the Python code provided.
Even though the reproduction exercise with synthetic data failed during the last step of the script, I consider the paper was partially reproducible based on the synthetic data.
",
"2022-004","osf::XPG6Y","https://osf.io/XPG6Y","conference","AGILEGIS","2022-07-09","https://doi.org/10.17605/osf.io/XPG6Y","What are intersections for pedestrian users?","https://doi.org/10.5194/agile-giss-3-4-2022","https://openalex.org/W4281678515","Jean-Marie Favreau; Jérémy Kalsron",,"Eleni Tomai","0000-0003-1162-7389","The updated submission contains a DASA section and links to two repositories on GitHub, which have been updated by the author during the reproducibility review process.
The first repository contains all necessary files and code for implementing the segmentation process, while the second, comprises all files necessary for using the evaluation tool.
The reproduction was successful.
",
"2022-005","osf::CDFAH","https://osf.io/CDFAH","conference","AGILEGIS","2022-07-09","https://doi.org/10.17605/osf.io/cdfah","Spatial Disaggregation of Population Subgroups Leveraging Self-Trained Multi-Output Gradient Boosted Regression Trees","https://doi.org/10.5194/agile-giss-3-5-2022","https://openalex.org/W4282970832","Marina Georgati; João Monteiro; Bruno Martins; Carsten Keßler","0000-0001-7794-8308; 0000-0003-4491-3744; 0000-0002-3856-2936; 0000-0002-9724-820X","Frank O. Ostermann","0000-0002-9317-8291","The paper presents an extensive quantitative study that consists of numerous (pre-)processing steps involving multiple input data sets of different types (e.g., CSV, remotely sensed imagery, and geographic vector data).
The input data is not provided but sufficiently documented to be recreatable or retrievable from other sources. Unfortunately, despite great support from the corresponding author, the time constraints of this review, coupled with the need to organize the data and the complexity of the workflow, allowed only a partial reproduction of the processing pipeline: the initial dasymetric mapping to generate the first inputs of disaggregated population density, and one of the multiple analysis on that data for the city of Amsterdam.
However, a careful evaluation of the available code led this reviewer to the conclusion that with more time, a successful reproduction of the entire workflow
is highly likely. In any case, there is sufficient information to replicate the study for a different geographic area or with different methods or parameters.
",
"2022-006","osf::W7VPH","https://osf.io/W7VPH","conference","AGILEGIS","2022-07-09","https://doi.org/10.17605/osf.io/W7VPH","Exploratory Analysis and Feature Selection for the Prediction of Nitrogen Dioxide","https://doi.org/10.5194/agile-giss-3-6-2022","https://openalex.org/W4281897965","Ditsuhi Iskandaryan; Silvana Di Sabatino; Francisco Ramos; Sergio Trilles","0000-0001-6668-2700; 0000-0003-2716-9247; 0000-0003-2540-4741; 0000-0002-9304-0719","Eftychia Koukouraki","0000-0003-0928-1139","The paper evaluates the competence of selected features in the prediction of Nitrogen Dioxide with Machine Learning.
For this reproduciblity review, the Figures and Tables of ""Section 5 - Experiments and Results"" were considered, while the Figures of ""Section 3 - Exploratory Analysis"""" were not.
The code of the corresponding analysis was provided as a GitHub repository and the data that is necessary to run the code were provided through a Zenodo repository.
The reproduced results were in accordance with the ones reported in the paper, so the reproduction of the paper is considered successful.
",
"2022-007","osf::3DSMV","https://osf.io/3DSMV","conference","AGILEGIS","2022-07-09","https://doi.org/10.17605/OSF.IO/3DSMV","Geoparsing: Solved or Biased? An Evaluation of Geographic Biases in Geoparsing","https://doi.org/10.5194/agile-giss-3-9-2022","https://openalex.org/W4281689570","Zilong Liu; Krzysztof Janowicz; Ling Cai; Rui Zhu; Gengchen Mai; Meilin Shi","0000-0002-7699-3366; 0000-0001-7106-4907; 0000-0002-8910-9445; 0000-0002-7818-7309; 0000-0001-6039-7810","Daniel Nüst; Eleni Tomai","0000-0002-0024-5046; 0000-0003-1162-7389","The article presents an evaluation of geoparsing performance using a number of different datasets and methods from various sources.
Though preprocessing steps and a core analysis step based on proprietary software could not be evaluated, one of two toponym resolution models could be executed successfully.
The provided notebooks for exploratory analysis, calculating statistical values, and geographic bias evaluation could be run and the outputs match the data and figures presented in the paper.
Therefore, this reproducibility report can confirm a partially successful reproduction of a complex pipeline, for which authors provide reasonable but improvable documentation and share all details (code, data) of their computational workflow.
",
"2022-008","osf::K78EB","https://osf.io/K78EB","conference","AGILEGIS","2022-07-09","https://doi.org/10.17605/OSF.IO/K78EB","Benchmarking Invasive Alien Species Image Recognition Models for a Citizen Science Based Spatial Distribution Monitoring","https://doi.org/10.5194/agile-giss-3-10-2022","https://openalex.org/W4281746077","Tom Niers; Jan Stenkamp; Nick Pascal Jakuschona; Thomas Bartoschek; Sven Schade","0000-0002-5746-8590; 0000-0003-1100-4907; 0000-0001-6286-8022; 0000-0002-0882-1036; 0000-0001-5677-5209","Daniel Nüst","0000-0002-0024-5046","The article presents a comparison of seven image-based species recognition models, which were benchmarked against a set of species. Selected model executions were successfully reproduced. The outputs were manually compared on a sample basis and match the result data shared privately by the authors; no summary statistics were recalculated.
The authors provided the used data privately, but all code and good documentation is available online and properly deposited and cited using a data repository.
Only two of the four online classification APIs were tested due to the requirement of registering accounts, therefore this reproduction is only partially complete.
",
